,City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),"Date, Time"
0,Cape Town,za,-33.9258,18.4232,87.12,48,0,4,1644081016.0
1,Abay,kz,49.6311,72.8539,3.58,67,0,11.77,1644081263.0
2,Rabo de Peixe,pt,37.8,-25.5833,62.11,72,20,17.27,1644081264.0
3,Bad Doberan,de,54.1071,11.9005,42.01,76,100,22.68,1644081265.0
4,Cape Town,za,-33.9258,18.4232,87.12,48,0,4,1644081016.0
5,Bluff,nz,-46.6,168.3333,50.11,81,36,8.3,1644081266.0
6,Upernavik,gl,72.7868,-56.1549,0.43,98,100,4.56,1644081267.0
7,Busselton,au,-33.65,115.3333,68.04,70,0,2.57,1644081268.0
8,Rikitea,pf,-23.1203,-134.9692,78.62,73,53,12.82,1644081264.0
9,Ushuaia,ar,-54.8,-68.3,64.02,73,100,7.96,1644081269.0
10,Butaritari,ki,3.0707,172.7902,82.38,69,14,18.14,1644081165.0
11,Bluff,nz,-46.6,168.3333,50.11,81,36,8.3,1644081266.0
12,Fort Nelson,ca,58.8053,-122.7002,-9.83,97,56,1.86,1644081271.0
13,Pacific Grove,us,36.6177,-121.9166,58.8,62,0,1.01,1644081272.0
14,Ushuaia,ar,-54.8,-68.3,64.02,73,100,7.96,1644081269.0
15,Duliby,ua,49.2313,23.8153,35.76,82,76,12.01,1644081273.0
16,Albany,au,-35.0169,117.8917,66.63,82,40,8.05,1644081274.0
17,Thompson,ca,55.7435,-97.8558,-17.37,94,71,2.68,1644080985.0
18,Ambilobe,mg,-13.2,49.05,74.46,93,98,7.14,1644081275.0
19,Tuktoyaktuk,ca,69.4541,-133.0374,-30.78,99,60,9.6,1644081085.0
20,Butaritari,ki,3.0707,172.7902,82.38,69,14,18.14,1644081165.0
21,Kinwat,in,19.6333,78.2,67.19,21,36,4.81,1644081277.0
22,Arrondissement de Clermont,fr,49.5,2.4167,47.05,75,61,10.87,1644081689.0
23,East London,za,-33.0153,27.9116,67.14,94,75,6.91,1644081057.0
24,Wageningen,sr,5.7667,-56.6833,80.62,84,89,5.19,1644081279.0
25,Paamiut,gl,61.994,-49.6678,1.47,82,88,6.04,1644081280.0
26,Padang,id,-0.9492,100.3543,74.57,95,100,2.19,1644081281.0
27,Ayan,ru,56.45,138.1667,-6.11,74,100,14.05,1644081282.0
28,Estelle,us,29.8458,-90.1067,44.06,56,0,7,1644081023.0
29,Myaundzha,ru,63.0494,147.1858,-20.96,68,28,2.39,1644081283.0
30,Yumen,cn,40.2833,97.2,15.67,37,100,14.25,1644081284.0
31,Esim,gh,4.8699,-2.2405,83.14,70,45,11.81,1644081645.0
32,Constitucion,mx,23.9912,-104.6749,46.13,51,8,3,1644081285.0
33,Kushikino,jp,31.7167,130.2667,38.08,64,98,19.53,1644081286.0
34,Busselton,au,-33.65,115.3333,68.04,70,0,2.57,1644081268.0
35,Fortuna,us,40.5982,-124.1573,46.92,93,40,1.01,1644081287.0
36,Port Elizabeth,za,-33.918,25.5701,71.1,83,75,12.66,1644081288.0
37,Río Gallegos,ar,-51.6226,-69.2181,71.65,28,0,13.8,1644081697.0
38,Abu Dhabi,ae,24.4667,54.3667,71.71,70,0,3,1644081289.0
39,Făgeţelu,ro,44.7833,24.5333,39.83,74,46,5.91,1644081698.0
40,Vaini,to,-21.2,-175.2,77.05,92,100,23.64,1644081263.0
41,Punta Arenas,cl,-53.15,-70.9167,62.71,59,75,34.52,1644081134.0
42,Galle,lk,6.0367,80.217,77.77,78,22,5.7,1644081018.0
43,Mar del Plata,ar,-38.0023,-57.5575,67.08,88,100,14,1644081005.0
44,Tasiilaq,gl,65.6145,-37.6368,26.76,59,100,10,1644081293.0
45,Tatvan,tr,38.5067,42.2817,17.13,92,81,3.47,1644081294.0
46,Tiznit Province,ma,29.5833,-9.5,70.86,23,72,8.43,1644081702.0
47,Dhidhdhoo,mv,6.8833,73.1,80.64,71,67,12.64,1644081295.0
48,Albany,au,-35.0169,117.8917,66.63,82,40,8.05,1644081274.0
49,Nome,us,64.5011,-165.4064,1.47,46,0,9.22,1644081296.0
50,Punta Arenas,cl,-53.15,-70.9167,62.71,59,75,34.52,1644081134.0
51,Rikitea,pf,-23.1203,-134.9692,78.62,73,53,12.82,1644081264.0
52,Pacific Grove,us,36.6177,-121.9166,58.8,62,0,1.01,1644081272.0
53,Bluff,nz,-46.6,168.3333,50.11,81,36,8.3,1644081266.0
54,Ongandjera,na,-17.8833,15.0667,78.48,26,87,10.18,1644081299.0
55,Itaituba,br,-4.2761,-55.9836,86.16,74,40,0,1644081300.0
56,Puerto Ayora,ec,-0.7393,-90.3518,85.96,86,54,4,1644081301.0
57,Metapán,sv,14.3333,-89.45,79.18,47,22,10.07,1644081709.0
58,Punta Arenas,cl,-53.15,-70.9167,62.71,59,75,34.52,1644081134.0
59,Samarai,pg,-10.6167,150.6667,80.29,82,100,10.51,1644081164.0
